hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,score_1,score_2,score_3,score_4,score_5,score_6,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6,zscore_1,zscore_2,zscore_3,zscore_4,zscore_5,zscore_6,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
0d24b0300ae078ab63afa2e46475d6a5,DENNIS BJÖRNSTRÖM,SE,,3,3,1,12,3,1,1623,CAP +313,359,255,02:01,12:34,1623.0,313.0,359.0,255.0,-121.0,-754.0,0.8036314349136611,1.2930110568117361,1.863510362463799,-0.24060225941620142,1.0907928926155113,1.2806243919835338,0.7958224257542215,0.9068769594267043,1.7147650982521883
d89680ffe801972d77b9b28e54b65998,LUIS GUILLERMO NUÑEZ HERNÁNDEZ,PR,,14,3,4,1,1,3,1419,CAP +313,304,315,01:56,13:13,1419.0,313.0,304.0,315.0,-116.0,-793.0,-0.7330609389024954,1.2930110568117361,0.6509522499017383,2.0451192050377087,1.4010483560839952,1.0003206819322008,0.7958224257542215,0.9068769594267043,1.657256679322979
7fc3294471b924b2b8875820bdaf5ad3,JOAQUIN RODRIGUEZ,MX,,12,1,4,5,2,6,1503,CAP +324,304,280,01:58,14:21,1503.0,324.0,304.0,280.0,-118.0,-861.0,-0.1003052555664309,1.4580931037718172,0.6509522499017383,0.7117816841062612,1.2769461706966017,0.5115860079965435,0.7958224257542215,0.9068769594267043,1.5049446695975903
bc685b38824e5e2edce94871c7ef2d48,QUENTIN YOUNG,US,,1,6,7,18,16,2,1800,CAP +245,302,215,02:39,13:07,1800.0,245.0,302.0,215.0,-159.0,-787.0,2.136938053371797,0.27250385742214356,0.6068592276267541,-1.7644165690521414,-1.2671486297449668,1.0434443296324059,0.7958224257542215,0.9068769594267043,1.043251778758693
2a4416bdfcb11d6394de3f9be8968632,MARCUS JARLERUP,SE,,2,15,2,17,5,12,1722,CAP +144,344,240,02:05,14:59,1722.0,144.0,344.0,240.0,-125.0,-899.0,1.549379204559737,-1.2432494828476923,1.5328126954014187,-0.8120326255296789,0.8425885218407241,0.23846957256191148,0.7958224257542215,0.9068769594267043,1.1864716454996562
4e2320164a63481e7baaab4334698831,ÁDÁM  KUTI,HU,,11,17,9,3,6,4,1517,CAP +133,300,290,02:08,14:06,1517.0,133.0,300.0,290.0,-128.0,-846.0,0.005154024989579832,-1.4083315298077734,0.5627662053517701,1.0927352615152461,0.6564352437596337,0.6193951272470561,0.7958224257542215,0.9068769594267043,1.109566874136548
6b9eedd3c38bd618c6292923a8f1caef,CAMERON  POWER ,CA,,9,14,16,2,6,5,1520,CAP +171,243,295,02:08,14:11,1520.0,171.0,243.0,295.0,-128.0,-851.0,0.027752442251582132,-0.838048094854766,-0.6938849294852747,1.2832120502197386,0.6564352437596337,0.583458754163552,0.7958224257542215,0.9068769594267043,1.0420242487697402
53146718a8f7bfd560772df874b3aeea,IVAN SANDOVAL,MX,,6,7,3,13,13,8,1618,CAP +236,306,245,02:23,14:34,1618.0,236.0,306.0,245.0,-143.0,-874.0,0.7659674061436573,0.1374367280911681,0.6950452721767223,-0.6215558368251864,-0.2743311466458181,0.41815143797943255,0.7958224257542215,0.9068769594267043,1.0555251633223233
312250ff6cf7da5e90e385f01fe4e16b,GONZALO HERRERA,CR,,13,5,10,4,11,11,1420,CAP +312,284,285,02:19,14:58,1420.0,312.0,284.0,285.0,-139.0,-898.0,-0.7255281331484945,1.2780035979971833,0.21002202715189794,0.9022584728107537,-0.026126775871030967,0.24565684717861233,0.7958224257542215,0.9068769594267043,1.1568031401065322
73fecc543608b3cb89650190f11c8a4c,AXEL SIIKAVUOPIO,SE,,4,7,13,13,9,7,1621,CAP +236,246,245,02:14,14:28,1621.0,236.0,246.0,245.0,-134.0,-868.0,0.7885658234056596,0.1374367280911681,-0.6277453960727986,-0.6215558368251864,0.28412868759745297,0.46127508567963765,0.7958224257542215,0.9068769594267043,0.9628637424500233
d6d93e3366de6aac1a33ef0f317fd8ca,GABOR KUSTAN,HU,,10,7,15,8,4,9,1518,CAP +236,244,270,02:04,14:39,1518.0,236.0,244.0,270.0,-124.0,-879.0,0.0126868307435806,0.1374367280911681,-0.6718384183477827,0.33082810669727614,0.9046396145344209,0.3822150648959284,0.7958224257542215,0.9068769594267043,1.0522429350779126
f73cef0898c3a312055ab0d80e24dc67,NICOLÒ PUCCI,IT,,14,7,12,6,6,10,1419,CAP +236,248,275,02:08,14:43,1419.0,236.0,248.0,275.0,-128.0,-883.0,-0.7330609389024954,0.1374367280911681,-0.5836523737978145,0.5213048954017686,0.6564352437596337,0.353465966429125,0.7958224257542215,0.9068769594267043,0.9535558602736922
d1c048f2e670d82ce2f36a4028037009,ABAD FCO TOSTADO ,MX,,20,2,8,10,10,15,1402,CAP +319,301,260,02:15,CAP +2519,1402.0,319.0,301.0,260.0,-135.0,-1024.6522760354637,-0.8611186367205084,1.383055809699053,0.5848127164892621,-0.0501254707117089,0.22207759490375617,-0.6646278415184647,0.7958224257542215,0.9068769594267043,0.9883259589711336
cfe697ba98a052812206668b753038e5,ANTHONY PEREZ,FR,,7,7,18,13,13,17,1617,CAP +236,185,245,02:23,CAP +2477,1617.0,236.0,185.0,245.0,-143.0,-1042.0262750639215,0.7584346003896565,0.1374367280911681,-1.9725825754598114,-0.6215558368251864,-0.2743311466458181,-0.7894995437262843,0.7958224257542215,0.9068769594267043,0.5405204009574878
3734620e6fcdd49d401fab193e36cc8b,BENJAMIN KIM,KR,,16,17,4,9,19,18,1418,CAP +133,304,265,02:49,CAP +2289,1418.0,133.0,304.0,265.0,-169.0,-1127.6099097131207,-0.7405937446564961,-1.4083315298077734,0.6509522499017383,0.1403513179927836,-1.8876595566819345,-1.4046126286454725,0.7958224257542215,0.9068769594267043,0.29012865333514914
7661551e1db6aad1cb75802f18891199,JORGE GUASCH,CR,,21,12,11,10,12,16,1221,CAP +235,267,260,02:21,CAP +2505,1221.0,235.0,267.0,260.0,-141.0,-1030.378875582169,-2.224556478194647,0.12242926927661527,-0.1647686621854663,-0.0501254707117089,-0.15022896125842455,-0.7057864850805102,0.7958224257542215,0.9068769594267043,0.4860146538006688
9e74e74986e7cf96c83b27d0f9b9d5eb,KÉVIN MIOTTO,FR,,5,15,18,19,15,13,1620,CAP +144,185,205,02:34,CAP +2833,1620.0,144.0,185.0,205.0,-154.0,-911.0833333333334,0.7810330176516588,-1.2432494828476923,-1.9725825754598114,-2.1453701464611266,-0.9568931662764828,0.15162333761010938,0.7958224257542215,0.9068769594267043,0.19256810254468293
53882fc839bd78a20b016a1f3667cb25,PIEGAY ROMAIN,FR,,16,13,16,13,18,14,1418,CAP +211,243,245,02:46,CAP +2529,1418.0,211.0,243.0,245.0,-166.0,-1020.6006656122315,-0.7405937446564961,-0.23774974227265266,-0.6938849294852747,-0.6215558368251864,-1.7015062786008441,-0.6355078047668072,0.7958224257542215,0.9068769594267043,0.2926614318571369
1f5c6b5295ae71ab86e62c3588b70a0e,LYNELL KOOLMAN,AW,,19,17,13,6,17,19,1414,CAP +133,246,275,02:42,CAP +1895,1414.0,133.0,246.0,275.0,-162.0,-1362.057563764292,-0.7707249676724992,-1.4083315298077734,-0.6277453960727986,0.5213048954017686,-1.4533019078260572,-3.089652301552516,0.7958224257542215,0.9068769594267043,0.0011711920732428993
