"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","score_1","score_2","score_3","score_4","score_5","score_6","reps","time","lb","reps","time","time"
"58ebf023556b4e54524114386c42bfd5","JESSICA BEMLAR","SE","","2","3","4","1","7","3","1315","CAP +133","155","261","02:46","CAP +2991"
"018c0842047c09782177b0c1caa583f0","LISA LINDSKOG","SE","","6","10","1","2","2","1","1216","CAP +60","175","260","02:12","14:41"
"33a7b3fd1056570153708ad767fa2499","JOHANNA GÖRANSSON","SE","","2","4","4","4","4","2","1315","CAP +132","155","257","02:33","CAP +3197"
"ecd21b7cab8e359e21efaf38173d1039","MARIANNE FLANNERY","US","","9","5","1","12","5","8","1214","CAP +131","175","142","02:41","CAP +1706"
"06d34757e41bdc09386cec9c3a5df5f1","LINDA JAMES-OLSEN","NO","","4","1","9","6","6","16","1218","CAP +148","145","198","02:44","CAP +1701"
"9b7c1c3db4629e2ca448869e40cb73ab","EVELYN LOBO CORDERO","CR","","6","13","4","8","3","6","1216","CAP +4","155","195","02:32","CAP +1707"
"59f32e528146661d93a21ddd6fd9d859","CHRISTINA LUZZI","CH","","1","11","4","14","11","5","1415","CAP +16","155","0","03:15","CAP +2258"
"78ce1b38bfa575666a73789bac12b781","ISSELA FELIX","MX","","12","16","3","7","1","12","1116","CAP +2","170","196","02:04","CAP +1704"
"5f7da7c0ae5c96111961c51dd68c2f9b","SONIA ASHKENAZY","CH","","13","2","16","2","17","4","1115","CAP +147","125","260","CAP +41","CAP +2321"
"dd5447b2e3e777a6a2172bd444a3a6c9","LIISA PAAJASTE","FI","","11","8","4","11","9","8","1210","CAP +103","155","143","03:07","CAP +1706"
"a0789a5e9eaf2e25eaf7ff5cd043e7c8","ANITA PAUS","NO","","5","12","9","5","12","8","1217","CAP +15","145","205","03:28","CAP +1706"
"9d47badf29a18b5a3f80ea320a68a19e","MICHELLE TOOLE","CA","","8","5","17","10","15","12","1215","CAP +131","120","170","03:52","CAP +1704"
"df90404974995e3f239cb43bf9418a83","BETH SMITH","US","","18","5","13","9","14","12","1006","CAP +131","135","178","03:41","CAP +1704"
"260783f3f5c551a272733c9c72bcbff6","SARA ABBATE","IT","","9","16","15","14","13","6","1214","CAP +2","130","0","03:38","CAP +1707"
"a2b19921020f05d2d2f3c34807cae5e6","BIRGIT RYNINGEN","NO","","14","13","12","14","10","11","1114","CAP +4","140","0","03:12","CAP +1705"
"31524ee9646bd89a6a880dcda4c61622","SANDRA SOMMER","DE","","16","18","9","14","8","17","1011","CAP +1","145","0","02:58","CAP +1696"
"1f47a5289ab14f8bb824932c33045976","LÍVIA HUDÁKNÉ FARKAS","HU","","15","9","18","14","16","15","1111","CAP +102","110","0","03:55","CAP +1702"
"f9b6dfab6f3214ceaecc71cdc7293c78","IOANNA KASTORI","GR","","19","18","19","13","18","18","809","CAP +1","105","78","CAP +21","CAP +1654"
