"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","score_1","score_2","score_3","score_4","score_5","score_6","reps","time","reps","lb","time","time"
"d55a06ff7b9062b69ad8efcee93fb647","TONY KURZ","US","","4","1","3","2","1","1","1520","CAP +303","304","245","02:09","13:58"
"4c08da0b6084919166c5f5b8ea7e1061","NICK DESCHENES","CA","","2","7","4","1","2","6","1600","CAP +235","267","255","02:16","CAP +2645"
"a52a5966a4266fc96fa4289e03b9718f","ANDREA DI SALVATORE","IT","","3","7","7","6","3","3","1521","CAP +235","261","225","02:25","CAP +3267"
"0244adce1d90cb2ee20f6dc24fab3561","EGIL OVERLAND","NO","","5","4","10","4","5","5","1518","CAP +236","247","230","02:40","CAP +2686"
"6fcd9e860ac27d8cf0bdfaf16a6c3721","KARL CORNELIUSSON","SE","","1","7","6","10","12","2","1624","CAP +235","264","210","03:38","14:44"
"aa908822a3afc3b8bbfc1b3a4792a684","PEKKA HAATAJA","FI","","6","2","5","10","7","12","1422","CAP +292","265","210","02:45","CAP +1706"
"ec2a321554b098255a57e345c0310443","JEAN-FRANÇOIS BACARDATZ","FR","","17","4","2","8","11","12","1220","CAP +236","305","215","03:32","CAP +1706"
"f8eeabc8b281a3a185803b342097aa1b","SZABOLCS VADICSKU","HU","","14","3","8","10","8","8","1400","CAP +246","260","210","03:05","CAP +2060"
"d38f16b5e8b9976e6bcd8eb5522e9aac","NICK DUSOE","US","","11","19","18","2","4","11","1418","CAP +130","143","245","02:38","CAP +1720"
"515098d3e84a8aaac489678a4a32eb41","JAN ERIK FLÅT","NO","","11","12","9","13","10","4","1418","CAP +133","259","205","03:18","CAP +2954"
"0f50b2a0098e40bf3d695675d8e536e2","DANIEL CARLSSON","SE","","6","4","11","16","14","10","1422","CAP +236","236","200","03:47","CAP +1807"
"0aa4a7fec24d1814c15f4ee039c2fc19","JOSÉ CARLOS (PEPÓN) GARCÍA ANASTASIO","ES","","24","12","12","4","6","15","1210","CAP +133","205","230","02:43","CAP +1704"
"180b5a7e3affeb206f905d9516715160","MAXIME LAUZON","CA","","15","10","1","27","26","7","1316","CAP +234","320","0","CAP +47","CAP +2080"
"075f29e403fbff08862393e291aba8e0","DAVID  AGUILAR ","MX","","11","12","22","18","13","9","1418","CAP +133","2","185","03:43","CAP +1983"
"7ed13c198c6f02509407606ae4b9f5db","FRÉDÉRIC ROGER","CH","","8","12","15","18","15","17","1421","CAP +133","199","185","03:52","CAP +1703"
"f0d4674aaf49de35fd01b95668540fc0","ZANE PFRIMMER","CA","","8","12","17","21","18","14","1421","CAP +133","145","175","CAP +58","CAP +1705"
"0379ba6526c9f02a885a1bba06c443ef","ZOLTÁN SZEPCSIK","HU","","25","11","13","6","24","17","1112","CAP +200","204","225","CAP +50","CAP +1703"
"86ee3dfadb0cf5da2c79771e543c2a96","ANDRÉ NETZ","DE","","23","19","24","8","9","17","1211","CAP +130","0","215","03:07","CAP +1703"
"c04f6dcef17eeea14335e8092deff653","KENNETH GRANÅS JOHANSEN","NO","","10","17","19","21","17","15","1420","CAP +131","142","175","CAP +59","CAP +1704"
"c9c3cd54308f04a09c8d0f3d1e3ee06f","SEBASTIAN ARNOLD","DE","","18","17","21","13","15","17","1217","CAP +131","129","205","03:52","CAP +1703"
"75e174f5f1ea42162c8722885270c955","EDUARDO MARTON","BR","","19","22","14","13","21","24","1214","CAP +4","201","205","CAP +54","CAP +1689"
"98662645acdd781b8af0e2a6d82406ee","GONZALO CABEZA","ES","","19","25","16","18","23","17","1214","CAP +3","195","185","CAP +51","CAP +1703"
"94b4c734307c2019b5f2415476eea04f","NIKOLAOS ANTONIADIS","GR","","26","22","19","21","21","17","1016","CAP +4","142","175","CAP +54","CAP +1703"
"24b5cdc0abd22e2e96193acb9a40c2ae","HUGO CLAUDEPIERRE","FR","","19","21","23","17","26","25","1214","CAP +29","1","190","CAP +47","CAP +1683"
"8d38f378bc737108fd4862a0dc67dfc9","PATRICK CROCOLL","DE","","16","22","24","25","20","26","1314","CAP +4","0","165","CAP +55","CAP +1678"
"d96826788f13fcd6cae6b5a6a1912745","JOSE ZAYAS","PR","","27","26","24","21","25","23","1006","CAP +2","0","175","CAP +49","CAP +1696"
