"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","score_1","score_2","score_3","score_4","score_5","score_6","time","kg","time","reps","time","time"
"028599aa91a6c7d30fd72cf29dacb03d","COLIN BOSSHARD","CH","","7","3","1","1","1","1","13:21","110","06:40","58","08:33","01:40"
"0999e832a6c53e3a7e93647725b40cef","ÁDÁM BAKSZA","HU","","1","6","6","3","5","2","12:50","102.5","08:52","54","09:53","01:53"
"e065a3052a3f6570a901e122c7cf5813","FELIX REHDER","DE","","5","4","3","4","2","6","13:10","105","08:02","49","09:12","02:22"
"fd9ecdea6bc27d065c90ee5646fd6a05","JÓZSEF VIDA-SZÜCS","HU","","8","4","5","2","3","4","13:32","105","08:17","56","09:30","01:56"
"831c8474a8e06a989c038b1f1c68c4a9","ATCHER BAPTISTE","FR","","3","8","4","10","4","3","12:57","97.5","08:05","24","09:41","01:55"
"526d44caff586fb0800e31abd73822a1","KORNÉL HAJÓS","HU","","6","6","2","5","8","8","13:16","102.5","07:48","46","11:26","02:49"
"274ae6d0384ac3db034f63df68255de5","ERIC ZUCHOLD","DE","","10","1","8","7","7","5","14:22","120","11:43","36","10:11","02:18"
"70996c6c811dd03cddfda81bca0e1853","IVÁN RIBALLO","ES","","2","10","7","6","9","9","12:52","85","09:20","40","11:35","02:55"
"d73b3bafd09bd9c74dad325e0fcb957a","ISAAC VIDE CHAO","ES","","4","9","10","8","5","7","13:06","95","CAP +146","32","09:53","02:33"
"c1ae281e29a03de74d8bc1487c436894","MATTIA GAMBERONI","IT","","9","2","9","9","10","10","14:14","115","CAP +149","27","CAP +116","CAP +15"
