"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","score_1","score_2","score_3","score_4","score_5","score_6","score_7","reps","reps","reps","reps","time","time","time"
"bb6c34bfdc292226b6d6842b13ee7956","TUVA BJERKELI","NO","","8","1","4","4","2","1","1","196","69","198","101","06:36","01:35","10:03"
"1b8487c0464930cc3e2725e568181dad","GRY FLINK","FI","","2","3","5","1","1","3","6","216","46","180","129","06:19","02:00","11:01"
"f3fcc6cfcb809bb8c5c36e3ded2d3c96","CLAUDIA ETHEL RAMIREZ FIGUEROA","MX","","3","7","1","2","4","3","7","212","39","211","127","08:31","02:00","CAP +131"
"66a054ceb8e6f7b3ee459556d4120da2","MONA HOLMAN","FI","","4","2","8","5","7","2","5","200","59","178","92","08:52","01:51","10:23"
"16d050be01cb63844fee27424d251f9f","CLAUDIA VALDEZ","MX","","4","5","2","8","5","6","1","200","42","206","69","08:45","02:18","10:03"
"0299c88761aeaaa6b883f690be4097f0","JOANNIE GAGNON","CA","","1","13","3","3","3","11","4","243","31","202","104","08:12","02:55","10:16"
"e055863ffcd00f118cbc5d9eb3c942ed","TILDE LARDINGER","SE","","4","9","7","9","5","12","3","200","36","179","65","08:45","03:02","10:05"
"4a5c0fad3ec9edf953a816cdd3584104","ANNIE MELIN","SE","","4","8","10","10","8","5","8","200","38","161","48","CAP +226","02:07","CAP +130"
"618f76eb3f56bb689b1d30af5ca3b40d","LIV MALM","SE","","9","5","9","6","11","7","9","186","42","165","74","CAP +165","02:25","CAP +119"
"e915e5489c799f8ca53a138c525e5248","KENDRA  VARGAS MURILLO","CR","","10","4","5","11","10","9","11","161","43","180","24","CAP +168","02:44","CAP +116"
"ca873d085b18a1262aeb762405dfa920","ALEXA VAINIO","FI","","10","12","11","7","9","13","10","161","33","155","73","CAP +185","CAP +45","CAP +118"
