compname,gender,catg,compweight,num_tests,num_athletes,small_num_adjust,compscore
if3-masters-worlds-23,F,13-14,75,5,17,0.752772652709081,0.7788607347154802
if3-masters-worlds-23,F,15-16,75,7,11,0.6055300708194983,0.7979436825564211
if3-masters-worlds-23,F,17-18,75,7,9,0.5477225575051661,0.8032166256363953
if3-masters-worlds-23,M,13-14,75,5,6,0.4472135954999579,0.9900474631267736
if3-masters-worlds-23,M,15-16,75,7,13,0.6582805886043833,0.719533511482447
if3-masters-worlds-23,M,17-18,75,7,14,0.6831300510639732,0.7357525999219459
cf-quarter-24,F,14-15,50,4,224,1.0,0.8778467422013254
cf-quarter-24,F,16-17,50,4,248,1.0,0.8617148429137513
cf-quarter-24,M,14-15,50,4,252,1.0,0.9218424803773185
cf-quarter-24,M,16-17,50,4,267,1.0,0.8892655905642879
